"protein"	"Category"
"MAGEB3"	"analyte"
"MAGEB4"	"analyte"
"MAGEB5"	"analyte"
"MAGEB6"	"analyte"
"MAGEC1"	"analyte"
"MAGEC2"	"analyte"
"MAGEC3"	"analyte"
"MAK"	"analyte"
"MAL"	"analyte"
"MALL"	"analyte"
"MAP1S"	"analyte"
"MAP2K1"	"analyte"
"MAP2K3"	"analyte"
"MAP2K5"	"analyte"
"MAP2K6"	"analyte"
"MAP2K7"	"analyte"
"MAP3K13"	"analyte"
"MAP3K14"	"analyte"
"MAP3K2"	"analyte"
"MAP3K20"	"analyte"
"MAP3K6"	"analyte"
"MAP3K7"	"analyte"
"MAP4"	"analyte"
"MAP4K3"	"analyte"
"MAP4K5"	"analyte"
"MAPK1"	"analyte"
"MAPK10"	"analyte"
"MAPK11"	"analyte"
"MAPK12"	"analyte"
"MAPK13"	"analyte"
"MAPK14"	"analyte"
"MAPK3"	"analyte"
"MAPK6"	"analyte"
"MAPK7"	"analyte"
"MAPK8_tv1"	"analyte"
"MAPK8_tv2"	"analyte"
"MAPK9"	"analyte"
"MAPKAPK3"	"analyte"
"MAPKAPK5"	"analyte"
"MARK2"	"analyte"
"MARK3"	"analyte"
"MARK4"	"analyte"
"MAST1"	"analyte"
"MASTL"	"analyte"
"MATK"	"analyte"
"MATN3"	"analyte"
"MAX"	"analyte"
"MAZ"	"analyte"
"MCM5"	"analyte"
"MCMBP"	"analyte"
"MDM2"	"analyte"
"ME2"	"analyte"
"MECP2"	"analyte"
"MED16"	"analyte"
"MED17"	"analyte"
"MED21"	"analyte"
"MED22"	"analyte"
"MED24"	"analyte"
"MED30"	"analyte"
"MED4"	"analyte"
"MEF2A"	"analyte"
"MEF2C"	"analyte"
"MEIS2"	"analyte"
"MEIS3"	"analyte"
"MEOX2"	"analyte"
"METTL3"	"analyte"
"MIF"	"analyte"
"MITF"	"analyte"
"MKNK1"	"analyte"
"MKNK2"	"analyte"
"MLANA"	"analyte"
"MLF1"	"analyte"
"MLH1"	"analyte"
"MLKL"	"analyte"
"MLLT11"	"analyte"
"MLLT3"	"analyte"
"MLLT6"	"analyte"
"MLPH"	"analyte"
"MLX"	"analyte"
"MMP11"	"analyte"
"MMP14"	"analyte"
"MMP2"	"analyte"
"MMP24"	"analyte"
"MNAT1"	"analyte"
"MNDA"	"analyte"
"MOB3A"	"analyte"
"MOK"	"analyte"
"MORC1"	"analyte"
"MPP1"	"analyte"
"MPP3"	"analyte"
"MPP5"	"analyte"
"MPZL2"	"analyte"
"MRPL45"	"analyte"
"MRPL55"	"analyte"
"MRPS26"	"analyte"
"MRPS30"	"analyte"
"MRT4"	"analyte"
"MSC"	"analyte"
"MSH2"	"analyte"
"MSLN"	"analyte"
"MSN"	"analyte"
"MTERF1"	"analyte"
"MTMR2"	"analyte"
"MTO1"	"analyte"
"MUSK"	"analyte"
"MUTYH"	"analyte"
"MX1"	"analyte"
"MX2"	"analyte"
"MYBL2"	"analyte"
"MYC"	"analyte"
"MYCBP"	"analyte"
"MYCBPAP"	"analyte"
"MYCL"	"analyte"
"MYCN"	"analyte"
"MYD88"	"analyte"
"MYF6"	"analyte"
"MYNN"	"analyte"
"MYOG"	"analyte"
"MYOZ2"	"analyte"
"NAB1"	"analyte"
"NAE1"	"analyte"
"NAGK"	"analyte"
"NAP1L1"	"analyte"
"NAP1L3"	"analyte"
"NAP1L4"	"analyte"
"NCK1"	"analyte"
"NCOA4"	"analyte"
"NCOA5"	"analyte"
"NDE1"	"analyte"
"NDRG1"	"analyte"
"NDRG2"	"analyte"
"NDUFAB1"	"analyte"
"NDUFV3"	"analyte"
"NEDD9"	"analyte"
"NEK11"	"analyte"
"NEK3"	"analyte"
"NEK7"	"analyte"
"NELFE"	"analyte"
"NEUROD1"	"analyte"
"NEUROD4"	"analyte"
"NF2"	"analyte"
"NFATC4"	"analyte"
"NFE2"	"analyte"
"NFE2L2"	"analyte"
"NFIA"	"analyte"
"NFIB"	"analyte"
"NFIL3"	"analyte"
"NFKBIA"	"analyte"
"NFX1"	"analyte"
"NFYA"	"analyte"
"NFYB"	"analyte"
"NHLH1"	"analyte"
"NICN1"	"analyte"
"NIM1K"	"analyte"
"NKX2-5"	"analyte"
"NLK"	"analyte"
"NLRP2"	"analyte"
"NLRP4"	"analyte"
"NME4"	"analyte"
"NME5"	"analyte"
"NME6"	"analyte"
"NME7"	"analyte"
"NME8"	"analyte"
"NMRAL1"	"analyte"
"NOL4"	"analyte"
"NPM1"	"analyte"
"NPY5R"	"analyte"
"NR0B2"	"analyte"
"NR1D2"	"analyte"
"NR1H2"	"analyte"
"NR1I2"	"analyte"
"NR2C1"	"analyte"
"NR2C2"	"analyte"
"NR2E1"	"analyte"
"NR2E3"	"analyte"
"NR3C1"	"analyte"
"NR4A1"	"analyte"
"NR4A2"	"analyte"
"NR6A1"	"analyte"
"NRAS"	"analyte"
"NRBF2"	"analyte"
"NRBP2"	"analyte"
"NRF1"	"analyte"
"NRIP1"	"analyte"
"NRIP3"	"analyte"
"NSF"	"analyte"
"NTPCR"	"analyte"
"NTRK3_ext"	"analyte"
"NUAK2"	"analyte"
"NUBP2"	"analyte"
"NUCB1"	"analyte"
"NUDT2"	"analyte"
"NUF2"	"analyte"
"NUP50"	"analyte"
"NXF2"	"analyte"
"NXF2B"	"analyte"
"OAS2"	"analyte"
"ODC1"	"analyte"
"ODF1"	"analyte"
"ODF2"	"analyte"
"ODF3"	"analyte"
"ODF4"	"analyte"
"OGG1"	"analyte"
"OIP5"	"analyte"
"OLIG3"	"analyte"
"OSBPL9"	"analyte"
"OTOA"	"analyte"
"OVOL1"	"analyte"
"OXSR1"	"analyte"
"P3H4"	"analyte"
"P4HB"	"analyte"
"PABPC1"	"analyte"
"PACSIN3"	"analyte"
"PAGE1"	"analyte"
"PAGE2B"	"analyte"
"PAGE5"	"analyte"
"PAK2"	"analyte"
"PAK4"	"analyte"
"PAK5"	"analyte"
"PAK6"	"analyte"
"PANK3"	"analyte"
"PAPSS2"	"analyte"
"PASD1"	"analyte"
"PATZ1"	"analyte"
"PAX3"	"analyte"
"PAX5"	"analyte"
"PAX8"	"analyte"
"PBX1"	"analyte"
"PBX3"	"analyte"
"PC"	"analyte"
"PCBD"	"analyte"
"PCBP2"	"analyte"
"PCGF2"	"analyte"
"PCK2"	"analyte"
"PCLAF"	"analyte"
"PDCD2L"	"analyte"
"PDCD5"	"analyte"
"PDCD6"	"analyte"
"PDCL3"	"analyte"
"PDE4A"	"analyte"
"PDGFB"	"analyte"
"PDGFRA"	"analyte"
"PDGFRA_ext"	"analyte"
"PDGFRB"	"analyte"
"PDGFRB_ext"	"analyte"
"PDGFRL"	"analyte"
"PDIK1L"	"analyte"
"PDK1"	"analyte"
"PDK2"	"analyte"
"PDK3"	"analyte"
"PDK4"	"analyte"
"PDPK1"	"analyte"
"PDXK"	"analyte"
"PEBP1"	"analyte"
"PELO"	"analyte"
"PFKFB3"	"analyte"
"PFKFB4"	"analyte"
"PFKP"	"analyte"
"PFN2"	"analyte"
"PHB2"	"analyte"
"PHF1"	"analyte"
"PHF11"	"analyte"
"PHF5A"	"analyte"
"PHF7"	"analyte"
"PHIP"	"analyte"
"PHKG1"	"analyte"
"PHKG2"	"analyte"
"PHLDA1"	"analyte"
"PHLDA2"	"analyte"
"PHTF1"	"analyte"
"PI42B"	"analyte"
"PIAS2"	"analyte"
"PIDD1"	"analyte"
"PIK3C3"	"analyte"
"PIK3R1"	"analyte"
